date,BM,IdioVol3F,Investment,Mom12m,OperProf,Size
1964-01-31,0.0,0.0,0.0,0.0,0.0,0.0
1964-02-28,0.0,0.0,-0.0026457081086224982,0.0,-0.0011989852537878298,0.0
1964-03-31,0.0,0.0,0.0,0.0,0.0,0.0
1964-04-30,0.0,0.0,-0.03156464466175201,0.0,-0.04054362282214328,0.0
1964-05-28,0.0,0.0,-0.025850247551117637,0.0,-0.03561366339714323,-0.015544927898911562
1964-06-30,0.0,0.0,-0.011932866775364016,0.0,-0.03690309932411769,-0.020347336881351204
1964-07-31,-0.02115080029804488,0.0,-0.034580538216787075,-0.0006929770151984962,-0.03255950902885682,-0.003246943369005739
1964-08-31,-0.017645279205601043,0.0,-0.05038431380565577,-0.0161778199168674,-0.04150634728329489,0.0
1964-09-30,0.0,-0.004373894540736239,-0.06377314078313888,-0.018513969641612102,-0.04569087248231159,0.0
1964-10-30,-0.0004439286347132185,0.0,-0.06181542366617289,-0.019325164193219793,-0.07431006132337191,0.0
1964-11-30,-0.044178199842685416,0.0,-0.07749539459622298,-0.006625790380141758,-0.09789091918593981,-0.011889839133762823
1964-12-31,-0.08715413289261009,0.0,-0.07806415419114587,-0.0024633687164784066,-0.06931964771446535,-0.04501467799129875
1965-01-29,-0.08741443361383032,-0.05249272887827431,-0.08533163621488232,-0.042924131276962325,-0.06341667357835631,0.0
1965-02-26,-0.08328317678685393,-0.0895785754587113,-0.053754937008121305,-0.06037836789710684,-0.08349889722753365,0.0
1965-03-31,-0.07470386008522696,-0.11300879794691512,-0.043845462330971516,-0.05634477796076714,-0.0627741823237493,0.0
1965-04-30,-0.07173568165484163,-0.1108411947989882,-0.04762775127277442,-0.020914622386735086,-0.03378433350175372,0.0
1965-05-28,-0.08949188530606171,-0.0998940065190752,-0.0662702681778634,-0.006820964615626658,-0.044245412055986345,0.0
1965-06-30,-0.09519736725187514,-0.023476691312904863,-0.07480568408281384,-0.02792811913873237,-0.04959236836556065,-0.05092996096863243
1965-07-30,-0.08127357686978519,-0.04346652099002944,-0.04608506125648978,0.0,-0.05702036016588124,-0.03550090733346502
1965-08-31,-0.08398128653901582,-0.07873332561727782,-0.04813664002802486,0.0,-0.033311852179819294,-0.03019948339563188
1965-09-30,-0.09282780517006282,-0.09740759546440937,-0.05057077668931908,0.0,-0.03957855749342057,-0.0440021501556233
1965-10-29,-0.06403534639597869,-0.16069967957997228,-0.052912374770210005,0.0,-0.002333983271257699,0.0
1965-11-30,-0.06906049093710326,-0.2333171975607066,-0.03749773805513198,0.0,-0.023103253497218482,0.0
1965-12-31,-0.04124815922956369,-0.24400712614366138,-0.07763884027428396,0.0,-0.03639527786799879,0.0
1966-01-31,-0.010497452126962127,-0.2949815669918194,-0.07755091719725242,0.0,-0.044297516537208884,0.0
1966-02-28,0.0,-0.360168522330405,-0.06585067311924725,0.0,-0.036078833544296335,0.0
1966-03-31,-0.020728760675145633,-0.3685424130964021,-0.05230217344703863,0.0,-0.0023513737486608585,0.0
1966-04-29,-0.03465455031115099,-0.39190223173768723,-0.033260478774639765,0.0,-0.0051475105014117655,0.0
1966-05-31,-0.05932945207053731,-0.3430587961308109,-0.021434476629010133,-0.07332367093064313,0.0,-0.08623824321296825
1966-06-30,-0.053301436429345046,-0.3606635244783445,-0.02108954773689966,-0.043402154851873584,0.0,-0.0804994179857584
1966-07-29,-0.05542202339096414,-0.34252927644901976,0.0,-0.05053960641093059,0.0,-0.08635313756076213
1966-08-31,-0.04579547952680091,-0.32361738061052553,0.0,-0.09006764525344488,-0.003921610957978107,-0.12316475317254812
1966-09-30,-0.07075077247374127,-0.301879119912972,0.0,-0.13440040365288997,-0.028449768798780754,-0.1455127520560548
1966-10-31,-0.07843129037797038,-0.20878472863567502,-0.0077830191011242136,-0.22085333107669278,-0.0857628962304766,-0.2320838488181827
1966-11-30,-0.11800722637929154,-0.3082979383449223,0.0,-0.10908346554041135,-0.053519335449030835,-0.21175560184033154
1966-12-30,-0.10612854261270903,-0.3043297069136531,0.0,-0.10951850125279494,-0.05594283871407019,-0.21079735129996338
1967-01-31,-0.0409356595724191,-0.3868253680750961,0.0,-0.17162473628260413,-0.04574487564234737,-0.10295684615102757
1967-02-28,-0.061866645167243876,-0.4159393592270234,0.0,-0.1386389114484753,-0.021440212725311776,-0.03361048969230424
1967-03-31,-0.04242503646907637,-0.41821147905444434,-0.0036456918670327437,-0.12729616933984658,0.0,-0.010745998264159106
1967-04-28,-0.08017583043131053,-0.41308316796918615,0.0,-0.1579583855350359,0.0,0.0
1967-05-31,-0.056246237580931356,-0.43225164706931113,0.0,-0.13506183568572755,-0.036138116899606165,0.0
1967-06-30,-0.033323757798546946,-0.4869382818162156,0.0,-0.09908014183681324,-0.028752940729420393,0.0
1967-07-31,0.0,-0.51560495460311,-0.02449139147955643,-0.11490523652476846,-0.0617413223314111,0.0
1967-08-31,0.0,-0.5073489409511359,-0.01783181803652556,-0.11739965756629099,-0.05959067684588881,0.0
1967-09-29,-0.020975043252122218,-0.5186230606781728,0.0,-0.1321324831114023,-0.0516837996610464,0.0
1967-10-31,-0.0624886457375038,-0.5230800026149555,-0.0017306380002566717,-0.09130670140679284,-0.017595298108023096,0.0
1967-11-30,-0.08655521023677591,-0.5167724458019879,0.0,-0.09118270946209674,-0.01365942988901596,-0.027875988928747576
1967-12-29,-0.06228877292917239,-0.5611931550785592,0.0,-0.05144176439782147,-0.033675580305243556,0.0
1968-01-31,-0.00513715100741801,-0.5724625525226853,0.0,-0.11101484941153371,-0.09239532204016818,0.0
