Ticker,Code,Name,Industry,Sector,Market,Available?
UCHITEC,7100,UCHI TECHNOLOGIES BERHAD,"Industrial Materials, Components & Equipment",Industrial Products & Services,Main Market,1
UTDPLT,2089,UNITED PLANTATIONS BERHAD,Plantation,Plantation,Main Market,1
ITMAX,5309,ITMAX SYSTEM BERHAD,Digital Services,Technology,Main Market,1
MAHSING,8583,MAH SING GROUP BERHAD,Property,Property,Main Market,1
TSH,9059,TSH RESOURCES BERHAD,Plantation,Plantation,Main Market,1
BIMB,5258,BANK ISLAM MALAYSIA BERHAD,Banking,Financial Services,Main Market,1
DXN,5318,DXN HOLDINGS BHD.,Retailers,Consumer Products & Services,Main Market,1
OSK,5053,OSK HOLDINGS BERHAD,Property,Property,Main Market,1
WCEHB,3565,WCE HOLDINGS BERHAD,Construction,Construction,Main Market,1
RCECAP,9296,RCE CAPITAL BERHAD,Other Financials,Financial Services,Main Market,1
99SMART,5326,99 SPEED MART RETAIL HOLDINGS BERHAD,Retailers,Consumer Products & Services,Main Market,1
NATGATE,270,NATIONGATE HOLDINGS BERHAD,"Industrial Materials, Components & Equipment",Industrial Products & Services,Main Market,1
ORIENT,4006,ORIENTAL HOLDINGS BERHAD,Automotive,Consumer Products & Services,Main Market,1
TANCO,2429,TANCO HOLDINGS BERHAD,Property,Property,Main Market,1
JPG,5323,JOHOR PLANTATIONS GROUP BERHAD,Plantation,Plantation,Main Market,1
TROP,5401,TROPICANA CORPORATION BERHAD,Property,Property,Main Market,1
FGV,5222,FGV HOLDINGS BERHAD,Plantation,Plantation,Delisted,0
LITRAK,6645,LINGKARAN TRANS KOTA HOLDINGS BHD,Transportation & Logistics Services,Transportation & Logistics,Delisted,0
AIRPORT,5014,MALAYSIA AIRPORTS HOLDINGS BHD,Transportation & Logistics Services,Transportation & Logistics,Delisted,0
MMCCORP,2194,MMC CORPORATION BHD,Transportation & Logistics Services,Transportation & Logistics,Delisted,0
SERBADK,5279,SERBA DINAMIK HOLDINGS BERHAD,"Energy, Infrastructure, Equipment & Services",Technology,Delisted,0
UMW,4588,UMW HOLDINGS BHD,Automotive,Consumer Products & Services,Delisted,0
TAGB,5158,TA GLOBAL BHD,Property,Property,Delisted,0
BPLANT,5254,BOUSTEAD PLANTATIONS BHD,Plantation,Plantation,Delisted,0
GHLSYS,21,GHL SYSTEMS BHD,Digital Services,Technology,Delisted,0
BSTEAD,2771,BOUSTEAD HOLDINGS BHD,Diversified Industrials,Industrial Products & Services,Delisted,0
