,BM,IdioVol3F,Investment,Mom12m,OperProf,Size,SP500,RSSL2K,USDIDX,TBLL13WK,VIX,GDP,UNRATE,INFLATION,POLICY,GLDRSRV,CRUDOIL,regime
1990-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-02-28,0.03496507942653948,0.008008501636250998,0.00917869071805888,-0.025869138667879654,-0.022508058410523613,-0.0033613360584870966,0.008539042758088922,0.02903371060348925,0.009522748820956828,0.003875996213888122,-0.13288646522578607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-03-31,-0.03278397140812228,0.02763255930622255,0.0244810398346631,0.017062082163564307,0.025048561198135033,-0.002158734877046764,0.024254986404143253,0.037471491354094555,0.004287721320113347,0.003861030872843285,-0.10277399965461287,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1990-04-30,-0.04534290924073625,0.018998807821001273,-0.0031975268579592653,0.055148986995999794,0.030904356253840026,0.011790505952140595,-0.02688714062127162,-0.033856923422385,-0.006617597720415924,-0.0012820805945253921,-0.010643643656610746,0.014869989124254746,0.0,0.01098039215686275,-0.5933971946630174,0.012038493585311949,-0.1792765337220087,1.0
1990-05-31,-0.022205424754819236,0.04736377386093715,0.020832158728956385,0.06571219776532877,-0.0014560552168664254,-0.07469579695687667,0.09198919079889456,0.06844207460852125,-0.0009669747306942922,-0.005134783318216152,-0.11014342049747017,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1990-06-30,-0.03803069842480389,0.015671991813341668,0.017845177626728326,0.008810239105989437,0.011812841445195454,0.004888760974838258,-0.008886365681221697,0.001243215028863487,-0.019681670950576713,-0.0012903521137852536,-0.10765692279125583,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1990-07-31,-0.023996196095415367,0.07061496517751453,-0.028428973137780256,0.09797622872078793,0.037668199256441826,-0.007835527259958064,-0.005223158411739148,-0.044997639723667215,-0.0436643257301933,-0.03229974255721246,0.36193552324848777,0.009242909597068971,0.01851851851851838,0.012412723041117069,0.18628523348758952,0.024823617570034928,0.0030136691421807082,1.0
1990-08-31,-0.028532429511754165,0.016444398290741846,-0.03208520412240967,0.07879078905268377,0.04314616645539715,-0.011643980688949007,-0.09431418479162912,-0.13621448051667695,-0.006997827499884868,-0.013351122521815473,0.4163902773109549,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1990-09-30,-0.04400210814298455,0.09864183624378065,-0.021065715339336877,0.0797977216419068,0.03740880417754955,-0.0014252168390231912,-0.051184306456431905,-0.09182136092741411,-0.0064694729018988095,-0.03382949993460427,-0.026421371848082575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-10-31,-0.05209057034821696,0.10523069932937479,-0.02754180725705635,0.10502559431944691,0.08469142843333644,-0.07799385994609875,-0.006698212301042394,-0.06211519579122382,-0.03162792117096658,-0.004201643351844697,0.03194779408026105,-0.0017261512496183906,0.07272727272727275,0.022222222222222365,0.1443364777643803,0.07405356897986848,0.9273527202489533,0.0
1990-11-30,0.004135139544020339,0.009527575961648438,0.041735112421775966,-0.06110912699390769,-0.04103842949209058,-0.09711406496166397,0.05993421454178649,0.07304552866637604,-0.0042026714607505955,-0.012658249071424987,-0.2623169383474335,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1990-12-31,-0.026091116716928542,0.09333807099257152,0.023900555910619348,0.026762293743646248,-0.012104931882879755,-0.08659439610667141,0.024827757338752088,0.036781387604408966,0.0016881633803600415,-0.08262107197748236,0.19043318332185422,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1991-01-31,0.029914279866186444,-0.03200396518655779,0.029072146036387858,-0.07596997885448209,-0.011413623855295318,-0.007336528519800267,0.0415177499981747,0.09054464067339962,-0.012880699395149797,-0.03881987543147658,-0.20735403667069463,0.005070167149813232,0.0847457627118644,0.009745127436281642,-0.22028015371265652,0.03007032468203019,-0.3051890206558654,1.0
1991-02-28,0.017486622545529906,-0.11740902235325401,0.03115797448953339,-0.10326101333200599,-0.040128116627643595,0.04143523348254141,0.06728117681278012,0.10980094355348702,0.025365875988471842,-0.024232648462169326,0.015303667965536727,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1991-03-31,-0.005873719620364426,-0.04312256873250875,0.055982363986011086,-0.02779889934769464,-0.01474143012290352,0.06390383774505204,0.02220283252204225,0.0688124656677247,0.09443380874284313,-0.04966890606450025,-0.2048987506012685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-04-30,0.00028461261518408776,0.026744602971909393,-0.020750347339032582,-0.0030057733260786534,0.008313803318027668,0.0621405794180907,0.0003197993624997064,-0.002339008884468363,-0.005216211095952383,-0.04006960825915218,0.0805687605431018,0.015191598325683175,0.046875,0.0029695619896066283,-0.4899841017488077,-0.09076606614041638,-0.16571176729836934,0.0
