,DBN - Long Only,MVO - Long Only,DBN - Long-Short,MVO Long-Short,Equal-Weight (1/N),Russell 2000
Cumulative Returns,1.119610368136029,0.7408503370279802,1.1667507190295998,0.7098779045507451,1.0407398781586354,1.305284549014456
CAGR,0.016765963113029914,-0.04003966163730055,0.019593738773675984,-0.04929984896071549,0.007082361563486739,0.03914772848627779
Volatility,0.03220237831220629,0.03624831714596946,0.06387895953938773,0.05951959515804189,0.020654883359632323,0.06352180940895363
Sharpe Ratio,0.2077623191261338,-0.2967137898895787,0.2163142328932302,-0.14856466051152062,0.11946105187450856,0.2924887568285056
Sortino Ratio,0.2816027491539414,-0.5131423010139817,0.3075890261887056,-0.2674585561655939,0.13994046341927782,0.41376819868707465
Max Drawdown,-0.28402543292820315,-0.2763014937130711,-0.44193319465392966,-0.46826106030837455,-0.19408308402753782,-0.33758438857622397
