,DBN - Long Only,MVO - Long Only,DBN - Long-Short,MVO Long-Short,Equal-Weight (1/N),Russell 2000
Cumulative Returns,1.0901880769637824,0.7310682334316286,1.586217965922427,0.715553307605967,1.040739878158636,1.305284549014456
CAGR,0.012637614217035464,-0.04195169973429658,0.06803473011634242,-0.04816359094761147,0.007082361563486739,0.03914772848627779
Volatility,0.037087392187898575,0.036886837688136116,0.05198360278979257,0.05941024422989221,0.020654883359632323,0.06352180940895363
Sharpe Ratio,0.1637479870445725,-0.30468087515036557,0.4738650312524042,-0.14343805928772962,0.1194610518745086,0.2924887568285056
Sortino Ratio,0.2515824088389588,-0.5150791418804079,0.6980875778986326,-0.2554736081199671,0.1399404634192779,0.41376819868707465
Max Drawdown,-0.3444666070178528,-0.28952961333129323,-0.4319974828577886,-0.46929628016792824,-0.1940830840275377,-0.33758438857622397
