,BM,IdioVol3F,Investment,Mom12m,OperProf,Size,SP500,RSSL2K,USDIDX,TBLL13WK,GDP,UNRATE,INFLATION,POLICY,GLDRSRV,CRUDOIL,regime
1987-09-30,3.729618842942838,4.104435852693743,1.9314227881649821,26.4501292675786,1.33331657727296,3.8021706425003785,321.8299865722656,170.80999755859375,98.56999969482422,6.610000133514404,4884.555,6.1,113.8,17.4,33249.3370674033,21.355,1.0
1987-10-31,3.674858277344741,4.558924729136417,1.9504900999738115,26.792436389507838,1.4574337248268618,3.605627560336605,251.7899932861328,118.26000213623047,93.6500015258789,5.269999980926514,5007.994,6.0,115.0,64.37,35115.4973908448,19.848,1.0
1987-11-30,3.8260041989972446,4.500858657758847,1.9170819548293707,26.976967742710148,1.434539199913364,3.6721814751738147,230.3000030517578,111.69999694824219,89.1500015258789,5.210000038146973,5007.994,6.0,115.0,64.37,35115.4973908448,19.848,1.0
1987-12-31,3.7794728902444823,4.738116733041629,1.884720835973297,30.421727950376386,1.4456053623203942,3.2689384818499003,247.0800018310547,120.41999816894531,85.41999816894531,5.679999828338623,5007.994,6.0,115.0,64.37,35115.4973908448,19.848,1.0
1988-01-31,3.9162529282758323,4.622517645189808,1.8736222962685332,28.050757411635175,1.4668008408245499,3.3997077017922805,257.07000732421875,125.23999786376953,90.33999633789062,5.639999866485596,5073.372,5.7,116.0,144.53,31886.416593791,17.16,1.0
1988-02-29,3.9441659662258646,4.409490102464487,1.8492327282327454,27.6733152555446,1.4288236026793877,3.30833984825508,267.82000732421875,136.10000610351562,90.52999877929688,5.619999885559082,5073.372,5.7,116.0,144.53,31886.416593791,17.16,1.0
1988-03-31,4.107715901675737,4.067829738944115,1.8509176750937253,26.579126206442417,1.3631711569334402,3.476841740626029,258.8900146484375,142.14999389648438,88.30000305175781,5.710000038146973,5073.372,5.7,116.0,144.53,31886.416593791,17.16,1.0
1988-04-30,4.239158335934581,4.109210826825239,1.83330492421851,27.253299620665054,1.3203947064328732,3.4793306120539493,261.3299865722656,145.00999450683594,89.16000366210938,5.980000019073486,5190.036,5.4,117.2,84.52,31667.0548134819,17.875,1.0
1988-05-31,4.302633119577903,4.351427286567734,1.8336876137105582,28.461364204161747,1.3285067291927395,3.4306848604267044,262.1600036621094,141.3699951171875,91.08999633789062,6.429999828338623,5190.036,5.4,117.2,84.52,31667.0548134819,17.875,1.0
1988-06-30,4.352774724768347,4.372960719690485,1.8169393214044567,27.191121190445337,1.3053959946593978,3.3570510891750556,273.5,151.3000030517578,95.41000366210938,6.559999942779541,5190.036,5.4,117.2,84.52,31667.0548134819,17.875,0.0
1988-07-31,4.430937288960622,4.37396389244434,1.8176990926628744,27.502735170553578,1.2925845846789552,3.4426916948689543,272.0199890136719,149.88999938964844,97.52999877929688,6.949999809265137,5282.835,5.4,118.5,81.86,32812.8454078722,15.498,0.0
1988-08-31,4.458304087217988,4.463674776918504,1.8173619702690915,27.915048663522967,1.3081509649417309,3.403709095376676,261.5199890136719,145.74000549316406,98.41999816894531,7.300000190734863,5282.835,5.4,118.5,81.86,32812.8454078722,15.498,0.0
1988-09-30,4.365217279722183,4.689835560441291,1.815474209324783,28.596926893734164,1.3599530547552892,3.2872133461250326,271.9100036621094,149.08999633789062,97.69000244140625,7.25,5282.835,5.4,118.5,81.86,32812.8454078722,15.498,0.0
1988-10-31,4.386951696143965,4.921616063032647,1.7934014524247286,29.761506356855858,1.4197879224198329,3.127406750633985,278.9700012207031,147.25,93.76000213623047,7.360000133514404,5399.509,5.4,119.9,81.35,39142.3343113635,13.798,1.0
1988-11-30,4.41678729849748,4.8212890887389115,1.769108620598865,30.95487600740841,1.4340103587405515,3.0085166912013324,273.70001220703125,142.00999450683594,90.52999877929688,7.829999923706055,5399.509,5.4,119.9,81.35,39142.3343113635,13.798,1.0
1988-12-31,4.3196092076571775,4.852544265978397,1.7896241963994337,30.253925652240902,1.4002935795615314,2.968057580491584,277.7200012207031,147.3699951171875,92.5,8.100000381469727,5399.509,5.4,119.9,81.35,39142.3343113635,13.798,1.0
1989-01-31,4.3879070961473285,4.986250656515757,1.7896766383302312,29.782312565577946,1.3765822633811216,2.98650349970609,297.4700012207031,153.85000610351562,96.7699966430664,8.390000343322754,5511.253,5.4,121.2,150.98,37134.020712619,17.983,1.0
1989-02-28,4.4237939854738215,4.875430137688468,1.7894715248223996,30.365022352840043,1.3457211046277464,3.0462968383241638,288.8599853515625,154.55999755859375,94.9000015258789,8.710000038146973,5511.253,5.4,121.2,150.98,37134.020712619,17.983,1.0
1989-03-31,4.429348872010559,4.953976988344317,1.8169657544252755,32.307672145201124,1.3488073754268883,3.0469468019162997,294.8699951171875,157.89999389648438,98.13999938964844,8.899999618530273,5511.253,5.4,121.2,150.98,37134.020712619,17.983,1.0
1989-04-30,4.353078241148399,5.179484295358807,1.8572839251036135,33.721172025932816,1.3557879135625215,2.9750257452205204,309.6400146484375,164.67999267578125,97.70999908447266,8.40999984741211,5612.463,5.2,123.1,68.47,39242.485987484,21.04,1.0
1989-05-31,4.278161333910434,5.244486414531243,1.8651712808133845,34.577501461116,1.3507103674534011,2.8920675386598074,320.5199890136719,171.52999877929688,102.9800033569336,8.609999656677246,5612.463,5.2,123.1,68.47,39242.485987484,21.04,1.0
1989-06-30,4.333856568692752,5.299394912430917,1.8592635980039078,35.692627358287126,1.3524427767538212,2.863321356257286,317.9800109863281,167.4199981689453,102.0199966430664,7.989999771118164,5612.463,5.2,123.1,68.47,39242.485987484,21.04,1.0
1989-07-31,4.213994648400895,5.794920221514974,1.817953562170837,39.91335752269721,1.4126667888824926,2.614418892130005,346.0799865722656,174.5,97.38999938964844,7.800000190734863,5695.365,5.2,124.5,73.56,52396.2105059868,19.644,1.0
1989-08-31,4.310497301641033,5.796741398026235,1.8045587084636383,39.94211581358198,1.3948541940863435,2.554075882314739,351.45001220703125,178.1999969482422,102.27999877929688,7.889999866485596,5695.365,5.2,124.5,73.56,52396.2105059868,19.644,1.0
1989-09-30,4.281682526746104,5.893865433347288,1.8077058975485816,41.23245547088267,1.429752918017238,2.574447824851094,349.1499938964844,178.2100067138672,98.47000122070312,7.909999847412109,5695.365,5.2,124.5,73.56,52396.2105059868,19.644,1.0
1989-10-31,4.144915964243721,6.235859332253312,1.7715945615329713,44.10484369012866,1.4799655059798877,2.533483820584229,340.3599853515625,167.47000122070312,98.06999969482422,7.769999980926514,5747.237,5.3,125.4,121.65,59746.6893608321,20.091,1.0
1989-11-30,4.005953893054145,6.6961356925235735,1.7484585424706087,45.498570402682546,1.453042218285593,2.43527739045594,345.989990234375,168.1699981689453,96.2699966430664,7.590000152587891,5747.237,5.3,125.4,121.65,59746.6893608321,20.091,1.0
1989-12-31,3.9113464081291736,6.9841239223253355,1.7289010779134295,45.59421217023164,1.4809990131872017,2.305104909440181,353.3999938964844,168.30999755859375,93.20999908447266,7.550000190734863,5747.237,5.3,125.4,121.65,59746.6893608321,20.091,1.0
1990-01-31,3.890296040290709,7.17333061644333,1.656154666504675,45.42696444086076,1.4879302223027229,2.372431879780799,329.0799865722656,153.27000427246094,92.41000366210938,7.739999771118164,5872.701,5.4,127.5,292.3,64447.361462393,22.641,0.0
1990-02-28,4.026320550332226,7.230778246422486,1.6713559979697912,44.25180799847929,1.4544398019483498,2.3644573389569876,331.8900146484375,157.72000122070312,93.29000091552734,7.769999980926514,5872.701,5.4,127.5,292.3,64447.361462393,22.641,0.0
1990-03-31,3.8943217725301995,7.430583155146899,1.7122725307339928,45.00683598243562,1.4908714263364564,2.359353102434092,339.94000244140625,163.6300048828125,93.69000244140625,7.800000190734863,5872.701,5.4,127.5,292.3,64447.361462393,22.641,1.0
1990-04-30,3.7177418938441393,7.571755376509505,1.706797493328825,47.488917394762055,1.536945848024629,2.3871710692315427,330.79998779296875,158.08999633789062,93.06999969482422,7.789999961853027,5960.028,5.4,128.9,118.85,65223.2106099483,18.582,1.0
1990-05-31,3.635187855962544,7.930382285892836,1.742353769628036,50.60951852626802,1.5347079700045716,2.208859423742893,361.2300109863281,168.91000366210938,92.9800033569336,7.75,5960.028,5.4,128.9,118.85,65223.2106099483,18.582,1.0
1990-06-30,3.4969391228949234,8.05466717215402,1.773446382135648,51.05540048552344,1.5528372319189134,2.219658009492591,358.0199890136719,169.1199951171875,91.1500015258789,7.739999771118164,5960.028,5.4,128.9,118.85,65223.2106099483,18.582,1.0
1990-07-31,3.4130258859682074,8.623447214032145,1.7230291225766199,56.05761608092451,1.6113298141836563,2.2022658186514277,356.1499938964844,161.50999450683594,87.16999816894531,7.489999771118164,6015.116,5.5,130.5,140.99,66842.2866468195,18.638,1.0
1990-08-31,3.3156439654550267,8.765254614658879,1.6677453814698928,60.47443988435297,1.6808525185609688,2.176622677987118,322.55999755859375,139.50999450683594,86.55999755859375,7.389999866485596,6015.116,5.5,130.5,140.99,66842.2866468195,18.638,1.0
1990-09-30,3.1697486411234403,9.629875424993102,1.6326131320053543,65.30016240469479,1.743731201279157,2.173520518694251,306.04998779296875,126.69999694824219,86.0,7.139999866485596,6015.116,5.5,130.5,140.99,66842.2866468195,18.638,0.0
1990-10-31,3.0046346265468347,10.643233950419889,1.5876480157983235,72.15835077040427,1.8914102875192664,2.0039992637692396,304.0,118.83000183105469,83.27999877929688,7.110000133514404,6004.733,5.9,133.4,161.34,71792.1965317919,35.922,0.0
1990-11-30,3.0170592100064013,10.744638170360108,1.6539086842238762,67.7488169495047,1.8137897797942923,1.809382749084427,322.2200012207031,127.51000213623047,82.93000030517578,7.019999980926514,6004.733,5.9,133.4,161.34,71792.1965317919,35.922,1.0
1990-12-31,2.93834076601624,11.747521970694674,1.6934380212022278,69.56193068949186,1.791833978060019,1.652700342601632,330.2200012207031,132.1999969482422,83.06999969482422,6.440000057220459,6004.733,5.9,133.4,161.34,71792.1965317919,35.922,1.0
1991-01-31,3.0262391140330744,11.371554686516241,1.7426698986581906,64.27731228593422,1.7713826590233044,1.6405752594034517,343.92999267578125,144.1699981689453,82.0,6.190000057220459,6035.178,6.4,134.7,125.8,73951.011191139,24.959,1.0
1991-02-28,3.0791578151526897,10.036431568135805,1.79696796290426,57.63997188503085,1.7003004090898317,1.7085528783225143,367.07000732421875,160.0,84.08000183105469,6.039999961853027,6035.178,6.4,134.7,125.8,73951.011191139,24.959,1.0
1991-03-31,3.061071705479629,9.603634858009746,1.8975664774747671,56.03764410819493,1.6752355494212896,1.817735964237678,375.2200012207031,171.00999450683594,92.0199966430664,5.739999771118164,6035.178,6.4,134.7,125.8,73951.011191139,24.959,0.0
