signalname,count,mean,std,min,25%,50%,75%,max,skew,kurtosis,n_obs,n_nan
BM,726.0,0.34392209189177214,3.476207549711284,-17.6472393758319,-1.87059089122068,0.27856393598489904,2.4230627421153903,16.1700487105554,0.0176590787601241,2.211396489648966,726,0
IdioVol3F,726.0,0.7164887918782967,6.618948513919125,-31.1852341916755,-2.6116832355844926,0.9863277391761816,4.227748686330015,35.3288420834318,-0.13350675973688947,4.329422953505166,726,0
Investment,726.0,0.1877816846947137,2.734094829195962,-12.695939810778,-1.300411846870965,0.12124432495003351,1.673775466142735,27.0347275945294,1.249385408093337,14.619942337490228,726,0
Mom12m,726.0,0.9015499055837095,6.458141063286638,-45.6560277548674,-1.819608391242415,1.41172260473741,4.302130055256278,23.6134490636378,-1.2223711585517414,6.772714040488944,726,0
OperProf,726.0,0.29631408270145587,3.7362191179337665,-14.6038097004139,-1.8091355629091175,0.18496130836483698,2.4870380456038776,23.4909741560354,0.3322594802931701,3.5374751912687725,726,0
Size,726.0,0.03820786193395489,5.422300643818982,-18.7030859831992,-2.8978078508239,-0.32176235936075903,2.5512559892133777,29.0268406679746,0.914370663162175,3.6548796436760767,726,0
