signalname,BM,IdioVol3F,Investment,Mom12m,OperProf,Size
BM,1.0,-0.20923767258236273,0.1240658015400457,-0.16888521581910623,-0.3376833765386049,0.32474850671513794
IdioVol3F,-0.20923767258236273,1.0,-0.32871491903736766,0.27446357292664586,0.6460518827711011,-0.5509016653033857
Investment,0.1240658015400457,-0.32871491903736766,1.0,0.10621198544258396,-0.2080118768645019,0.2801032712699212
Mom12m,-0.16888521581910623,0.27446357292664586,0.10621198544258396,1.0,0.24285335261993646,-0.13336175956765467
OperProf,-0.3376833765386049,0.6460518827711011,-0.2080118768645019,0.24285335261993646,1.0,-0.357529376733686
Size,0.32474850671513794,-0.5509016653033857,0.2801032712699212,-0.13336175956765467,-0.357529376733686,1.0
