,omega,alpha[1],beta[1]
BM,0.5039468191172797,0.10020481973036972,0.8630914281978077
IdioVol3F,2.181149087338461,0.1476031984596012,0.8029123813377023
Investment,0.5609142273879117,0.2436632858361859,0.6875944609787724
Mom12m,1.5917135642283464,0.14089208685051008,0.8335947661383775
OperProf,0.47975962351799,0.10262571395447233,0.8599951462890291
Size,8.393765207778408,0.31595797570868633,0.42402141006519956
