,1,5,12
BM,0.0001406436348068518,0.0001653349506946087,4.0864044700480195e-05
IdioVol3F,5.598035293035003e-23,1.091122798853532e-30,2.5320126670341513e-31
Investment,0.00017018709213077328,8.55117309253619e-11,3.0154590636781896e-08
Mom12m,1.8672215305933635e-05,0.0005297284443213952,1.9713591783448703e-07
OperProf,6.474879196364648e-17,4.429926397479058e-24,8.545535965665906e-26
Size,5.275916207844492e-13,1.0299247638968297e-10,1.5722945231013463e-08
