,1,6,12
BM,0.011534668842536058,0.1734736902698037,0.011319972480414857
IdioVol3F,0.004720928456909126,0.04632343798652236,0.0049202928616818905
Investment,0.47636639154295934,0.011790617650517678,0.020622260667276203
Mom12m,0.15635019759570226,0.5494724303447664,0.1398054973227623
OperProf,7.7286082234353e-06,0.0011569192039710468,0.0003672251148904597
Size,1.0153085435390844e-06,2.361981311597536e-05,4.83264682367811e-13
