factor,n_obs,adf_stat,adf_pvalue,kpss_stat,kpss_pvalue
BM,720,-24.369466491020585,0.0,0.19331938480154892,0.1
IdioVol3F,720,-24.080428250205475,0.0,0.1439839440379813,0.1
Investment,720,-10.93724612647304,9.491304075720951e-20,0.05309710853214845,0.1
Mom12m,720,-25.334353015651548,0.0,0.488620438244449,0.044229631026025
OperProf,720,-22.63688264013605,0.0,0.07013638892008273,0.1
Size,720,-5.815980071361854,4.291588574431941e-07,0.5271250178809261,0.035557428405196816
