,BM,IdioVol3F,Investment,Mom12m,OperProf,Size
BM,1.0,-0.21855954583245724,0.09301580442863508,-0.15798091817306747,-0.35657617652297424,0.2810211182248937
IdioVol3F,-0.21855954583245724,1.0,-0.29549851240710984,0.21935513635893072,0.5751873556854855,-0.5464072397258997
Investment,0.09301580442863508,-0.29549851240710984,1.0,0.05694577600136832,-0.17916582272213746,0.26250433224858327
Mom12m,-0.15798091817306747,0.21935513635893072,0.05694577600136832,1.0,0.2461124539206287,-0.11541942917842563
OperProf,-0.35657617652297424,0.5751873556854855,-0.17916582272213746,0.2461124539206287,1.0,-0.37546648431034785
Size,0.2810211182248937,-0.5464072397258997,0.26250433224858327,-0.11541942917842563,-0.37546648431034785,1.0
